2014-03-17 00:36:52 Debug: Notice (8): Undefined property: Nota::$Materium in [C:\wamp\www\sigedu\controllers\notas_controller.php, line 30]
2014-03-18 14:13:21 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:13:21 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:13:21 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:13:21 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:13:21 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:14:58 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:14:58 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:14:58 Debug: Notice (8): Undefined index: Elient in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:14:58 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:14:58 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:20:53 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:20:53 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:20:53 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:20:53 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:20:53 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 2]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 3]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 4]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 5]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 6]
2014-03-18 14:22:23 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:22:23 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:22:23 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:22:23 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:31:41 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:31:41 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:31:41 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:31:41 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:31:41 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:33:55 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:33:55 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:33:55 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:33:55 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:33:55 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:34:35 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:34:35 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:34:35 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:34:35 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:34:35 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:36:24 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:36:24 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:36:24 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:36:24 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:36:24 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:40:40 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:40:40 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:40:40 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:40:40 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:40:41 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:41:01 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:41:01 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:41:01 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:41:01 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:41:01 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:41:24 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:41:24 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:41:24 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:41:24 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:41:24 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:47:04 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:47:04 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:47:04 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:47:04 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:47:04 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:47:30 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:47:30 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:47:30 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:47:30 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:47:30 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:47:37 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:47:37 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:47:37 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:47:37 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:47:37 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-18 14:48:12 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-18 14:48:12 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-18 14:48:12 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-18 14:48:13 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-18 14:48:13 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:13:16 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:13:17 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:13:17 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:13:17 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:13:17 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:21:32 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:21:32 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:21:32 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:21:32 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:21:32 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:29:06 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:29:06 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:29:06 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:29:06 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:29:06 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:29:23 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:29:23 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:29:23 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:29:23 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:29:23 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:29:27 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:29:27 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:29:27 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:29:27 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:29:27 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:29:29 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:29:29 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:29:29 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:29:29 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:29:29 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:31:11 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:31:11 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:31:11 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:31:11 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:31:11 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:32:36 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:32:36 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:32:36 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:32:36 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
2014-03-19 13:32:36 Debug: Notice (8): Undefined variable: letters in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 35]
2014-03-19 13:32:46 Debug: Notice (8): Undefined variable: client in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 7]
2014-03-19 13:32:46 Debug: Notice (8): Undefined index: name in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 8]
2014-03-19 13:32:46 Debug: Notice (8): Undefined index: Empleado in [C:\wamp\www\sigedu\views\elements\empleado.ctp, line 9]
2014-03-19 13:32:46 Debug: Notice (8): Undefined variable: activeLetter in [C:\wamp\www\sigedu\views\empleados\index.ctp, line 34]
